0 0 0 0 0.958333 0 0 0 0.0416667 
0.425532 0.0425532 0.276596 0.0212766 0 0 0.148936 0 0.0851064 
0.108108 0 0 0 0 0 0.864865 0 0.027027 
0.0178571 0.0178571 0 0 0 0 0 0.857143 0.107143 
0.763889 0 0 0 0 0 0 0 0.236111 
0 0.0759494 0 0.0379747 0 0.0253165 0 0 0.860759 
0 0 0 0.978261 0 0.0217391 0 0 0 
0 0 0 0 0.958333 0 0 0 0.0416667 
0.297872 0 0.361702 0 0 0.0212766 0.148936 0.0425532 0.12766 
0.933333 0 0.0333333 0 0 0 0 0.0333333 0 
0 0 0.230769 0.711538 0 0.0192308 0.0192308 0.0192308 0 
0 0 0.770492 0 0 0 0.196721 0.0327869 0 
0 0.169014 0 0 0 0.0140845 0.788732 0.028169 0 
0 0.9875 0 0 0 0 0 0.0125 0 
0 0 0 0 0.958333 0 0 0 0.0416667 
0.276596 0.0212766 0.404255 0.0212766 0 0 0.148936 0 0.12766 
0.933333 0 0.0333333 0 0 0 0 0.0333333 0 
0 0 0.0192308 0.807692 0 0.0192308 0.134615 0.0192308 0 
0 0 0.69697 0 0 0 0.242424 0.0606061 0 
0 0.0857143 0 0 0 0.0857143 0.8 0.0285714 0 
0 0.9625 0 0 0 0.025 0 0.0125 0 
0 0 0 0 0.958333 0 0 0 0.0416667 
0.404255 0 0.276596 0 0 0.0212766 0.212766 0 0.0851064 
0 0 0 0 0 0 0.0930233 0 0.906977 
0 0.015873 0 0.015873 0 0.888889 0.0634921 0.015873 0 
0 0 0.0357143 0.928571 0 0 0 0.0357143 0 
0 0.02 0 0 0 0.96 0 0.02 0 
0 0.0416667 0.944444 0 0 0 0 0.0138889 0 
0 0.0108696 0 0 0 0 0 0.98913 0 
0 1 0 0 0 0 0 0 0 
0 0 0 0 0.958333 0 0 0 0.0416667 
0.297872 0 0.382979 0.0212766 0 0.0212766 0.148936 0.0212766 0.106383 
0.047619 0 0 0 0 0 0.928571 0 0.0238095 
0 0 0 0.126984 0 0 0 0.793651 0.0793651 
0.172414 0 0 0.0344828 0 0.758621 0 0.0344828 0 
0 0.0217391 0 0.934783 0 0 0 0.0434783 0 
0.298507 0 0 0 0 0 0 0.701493 0 
0.028169 0.971831 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 
0 0 0 0 0.958333 0 0 0 0.0416667 
0.297872 0 0.404255 0 0 0.0212766 0.148936 0 0.12766 
0 0 0 0 0 0 0.105263 0 0.894737 
0 0 0.12069 0 0 0.793103 0.0689655 0.0172414 0 
0 0 0 0 0 0 1 0 0 
0 0 0.959184 0 0 0.0408163 0 0 0 
0 0.985915 0 0 0 0.0140845 0 0 0 
0 0 0 0.968085 0 0.0319149 0 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 0.958333 0 0 0 0.0416667 
0.319149 0 0.382979 0.0212766 0 0.0212766 0.12766 0.0212766 0.106383 
0.047619 0 0 0 0 0 0.928571 0 0.0238095 
